House,Precinct,,,,,Senate,,,,,County
23,2,University Laboratory Sch,1776 University Ave,Caf,I,11,V,S,21.298819,-157.821687,City and County of Honolulu
23,4,Noelani Elem Sch,2655 Woodlawn Dr,Caf,I,11,V,DOE,21.306026,-157.812217,City and County of Honolulu
23,5,Manoa Elem Sch,3155 Manoa Rd,Caf,I,11,V,DOE,21.315053,-157.807665,City and County of Honolulu
25,3,Lincoln Elem Sch,615 Auwaiolimu St,Caf,I,11,VI,DOE,21.312619,-157.840691,City and County of Honolulu
24,4,Lincoln Elem Sch,615 Auwaiolimu St,Caf,I,11,VI,DOE,21.312619,-157.839691,City and County of Honolulu
25,1,,,,I,11,V,,,,City and County of Honolulu
26,4,,,,I,11,V,,,,City and County of Honolulu
26,5,,,,I,11,VI,,,,City and County of Honolulu
26,3,McKinley High Sch,1039 S King St ,Caf,I,12,V,DOE,21.299001,-157.848237,City and County of Honolulu
24,1,Kaahumanu Elem Sch,1141 Kinau St,Caf,I,12,V,DOE,21.302879,-157.84389,City and County of Honolulu
26,1,Washington Middle Sch,1633 S King St ,Caf,I,12,V,DOE,21.296337,-157.834847,City and County of Honolulu
23,3,Central Union Church,1660 S Beretania St,Hall,I,12,V,P,21.298908,-157.834155,City and County of Honolulu
22,2,Ala Wai Comm Park,2015 Kapiolani Blvd,Lounge,I,12,IV,C,21.288646,-157.831799,City and County of Honolulu
22,1,Jefferson Elem Sch,324 Kapahulu Ave,Caf,I,12,IV,DOE,21.27268,-157.819362,City and County of Honolulu
22,3,McKinley Comm Sch for Adults,634 Pensacola St,Rm 110,I,12,V,DOE,21.297332,-157.847593,City and County of Honolulu
21,4,Lunalilo Elem Sch,810 Pumehana St,Caf,I,12,V,DOE,21.292712,-157.832393,City and County of Honolulu
26,6,919 Ala Moana Bldg,919 Ala Moana Blvd ,Room 103,I,12,VI,S,21.294755,-157.858979,City and County of Honolulu
26,2,,,,I,12,IV,,,,City and County of Honolulu
29,1,Central Middle Sch,1302 Queen Emma St,Caf,I,13,VI,DOE,21.311224,-157.857078,City and County of Honolulu
26,7,Central Middle Sch,1302 Queen Emma St ,Caf,I,13,VI,DOE,21.311224,-157.856078,City and County of Honolulu
27,2,Likelike Elem Sch,1618 Palama St,Caf,I,13,VII,DOE,21.32452,-157.863533,City and County of Honolulu
25,5,Nuuanu Elem Sch,3055 Puiwa Ln,Caf,I,13,VI,DOE,21.335647,-157.83467,City and County of Honolulu
27,3,Maemae Elem Sch,319 Wyllie St,Caf,I,13,VI,DOE,21.328399,-157.847743,City and County of Honolulu
25,4,Kawananakoa Middle Sch,49 Funchal St,Caf,I,13,VI,DOE,21.31906,-157.851821,City and County of Honolulu
27,1,Lanakila Elem Sch,717 N Kuakini St,Caf,I,13,VI,DOE,21.3272,-157.860052,City and County of Honolulu
29,2,Kaiulani Elem Sch,783 N King St,Caf,I,13,VII,DOE,21.32127,-157.867723,City and County of Honolulu
30,1,Fern Elem Sch,1121 Middle St,Caf,I,14,VII,DOE,21.33902,-157.882096,City and County of Honolulu
32,1,Moanalua Middle Sch,1289 Mahiole St,Caf,I,14,VI,DOE,21.346906,-157.892532,City and County of Honolulu
31,1,Moanalua Elem Sch,1337 Mahiole St ,Caf,I,14,VI,DOE,21.349038,-157.890316,City and County of Honolulu
28,2,Kapalama Elem Sch,1601 N School St,Caf,I,14,VI,DOE,21.335294,-157.868972,City and County of Honolulu
29,4,Kapalama Elem Sch,1601 N School St,Caf,I,14,VII,DOE,21.335294,-157.869972,City and County of Honolulu
28,1,Kaewai Elem Sch,1929 Kamehameha IV Rd,Caf,I,14,VII,DOE,21.345516,-157.869632,City and County of Honolulu
28,4,Kaewai Elem Sch,1929 Kamehameha IV Rd,Caf,I,14,VI,DOE,21.345516,-157.870632,City and County of Honolulu
28,3,Kalihi Uka Elem Sch,2411 Kalihi St,Caf,I,14,VI,DOE,21.345223,-157.861861,City and County of Honolulu
27,4,Lanakila Elem Sch,717 N Kuakini St,Caf,I,14,VI,DOE,21.3272,-157.861052,City and County of Honolulu
31,4,Aiea Elem Sch,99-370 Moanalua Rd ,Caf,I,14,VI,DOE,21.375798,-157.929078,City and County of Honolulu
33,1,Halawa District Park,99-795 Iwaiwa St ,Mtg Rm,I,14,VI,C,21.376602,-157.916337,City and County of Honolulu
33,2,,,,I,14,VIII,,,,City and County of Honolulu
27,5,,,,I,14,VII,,,,City and County of Honolulu
30,2,Fern Elem Sch,1121 Middle St,Caf,I,15,VII,DOE,21.33902,-157.883096,City and County of Honolulu
32,3,Salt Lake Elem Sch,1131 Ala Lilikoi St,Caf,I,15,VII,DOE,21.351742,-157.912034,City and County of Honolulu
29,3,Farrington High Sch,1564 N King St,Caf,I,15,VII,DOE,21.330606,-157.873478,City and County of Honolulu
32,2,Moanalua High Sch,2825 Ala Ilima St,Caf,I,15,VII,DOE,21.347024,-157.900103,City and County of Honolulu
30,3,Aliamanu Middle Sch,3271 Salt Lake Blvd,Caf,I,15,VII,DOE,21.342335,-157.914173,City and County of Honolulu
31,2,Aliamanu Middle Sch,3271 Salt Lake Blvd ,Caf,I,15,VII,DOE,21.342335,-157.915173,City and County of Honolulu
31,3,Radford High Sch,4361 Salt Lake Blvd ,Caf,I,15,VII,DOE,21.360287,-157.928551,City and County of Honolulu
34,2,Pearl City Highlands Elem Sch,1419 Waimano Home Rd,Caf,I,16,VIII,DOE,21.402896,-157.966224,City and County of Honolulu
30,4,Radford High Sch,4361 Salt Lake Blvd,Caf,I,16,VII,DOE,21.360287,-157.927551,City and County of Honolulu
35,1,Lehua Elem Sch ,791 Lehua Ave ,Caf,I,16,VIII,DOE,21.389151,-157.972176,City and County of Honolulu
33,6,Calvary Chapel of Honolulu,98-1016 Komo Mai Dr ,Gym,I,16,VIII,P,21.399606,-157.94844,City and County of Honolulu
